msg_count_gwgw,9696,,,
msg_cnt_gw_ce,4320,,,
value,time,ID,orig_measurement,type
260,2024-01-01 00:00:00,5-0,269,2p_household
260,2024-01-01 00:00:00,5-4,267,2p_household
170,2024-01-01 00:00:00,10-4,168,1p_household
160,2024-01-01 00:00:00,10-2,161,1p_household
280,2024-01-01 00:00:00,10-9,272,2p_household
170,2024-01-01 00:00:00,13-4,170,1p_household
260,2024-01-01 00:00:00,13-2,263,2p_household
260,2024-01-01 00:00:00,13-7,259,2p_household
260,2024-01-01 00:00:00,13-8,259,2p_household
400,2024-01-01 00:00:00,1-0,391,4p_household
160,2024-01-01 00:00:00,1-3,162,1p_household
400,2024-01-01 00:00:00,2-7,414,3p_household
160,2024-01-01 00:00:00,2-4,160,1p_household
280,2024-01-01 00:00:00,2-5,282,2p_household
170,2024-01-01 00:00:00,2-8,168,1p_household
260,2024-01-01 00:00:00,5-2,261,2p_household
400,2024-01-01 00:00:00,5-1,392,4p_household
170,2024-01-01 00:00:00,5-3,166,1p_household
170,2024-01-01 00:00:00,5-5,166,1p_household
160,2024-01-01 00:00:00,5-6,161,1p_household
170,2024-01-01 00:00:00,10-0,171,1p_household
400,2024-01-01 00:00:00,10-1,409,4p_household
160,2024-01-01 00:00:00,10-3,157,1p_household
160,2024-01-01 00:00:00,10-5,160,1p_household
160,2024-01-01 00:00:00,10-6,162,1p_household
160,2024-01-01 00:00:00,10-7,157,1p_household
380,2024-01-01 00:00:00,10-8,379,3p_household
170,2024-01-01 00:00:00,13-0,167,1p_household
170,2024-01-01 00:00:00,13-3,169,1p_household
170,2024-01-01 00:00:00,13-6,172,1p_household
380,2024-01-01 00:00:00,13-1,389,3p_household
160,2024-01-01 00:00:00,13-5,164,1p_household
160,2024-01-01 00:00:00,13-9,163,1p_household
400,2024-01-01 00:00:00,1-6,390,3p_household
170,2024-01-01 00:00:00,1-1,165,1p_household
170,2024-01-01 00:00:00,1-4,172,1p_household
170,2024-01-01 00:00:00,1-7,168,1p_household
260,2024-01-01 00:00:00,1-2,260,2p_household
160,2024-01-01 00:00:00,1-5,157,1p_household
400,2024-01-01 00:00:00,2-0,394,3p_household
260,2024-01-01 00:00:00,2-1,267,2p_household
160,2024-01-01 00:00:00,2-2,163,1p_household
160,2024-01-01 00:00:00,2-3,160,1p_household
170,2024-01-01 00:00:00,2-6,169,1p_household
150,2024-01-01 00:15:00,10-0,147,1p_household
150,2024-01-01 00:15:00,10-2,151,1p_household
150,2024-01-01 00:15:00,10-4,152,1p_household
150,2024-01-01 00:15:00,10-6,149,1p_household
340,2024-01-01 00:15:00,10-1,342,4p_household
140,2024-01-01 00:15:00,10-7,143,1p_household
