msg_count_gwgw,8640,,,
msg_cnt_gw_ce,4800,,,
value,time,ID,orig_measurement,type
1120,2024-01-01 00:00:00,3-3,1098,store
400,2024-01-01 00:00:00,3-0,406,4p_household
400,2024-01-01 00:00:00,13-7,395,4p_household
400,2024-01-01 00:00:00,13-5,403,4p_household
400,2024-01-01 00:00:00,5-9,409,4p_household
400,2024-01-01 00:00:00,5-7,401,4p_household
400,2024-01-01 00:00:00,5-6,390,4p_household
400,2024-01-01 00:00:00,11-7,396,3p_household
400,2024-01-01 00:00:00,11-3,397,3p_household
400,2024-01-01 00:00:00,8-5,395,3p_household
280,2024-01-01 00:00:00,3-6,283,2p_household
280,2024-01-01 00:00:00,3-4,283,2p_household
280,2024-01-01 00:00:00,13-6,282,2p_household
280,2024-01-01 00:00:00,5-5,272,2p_household
280,2024-01-01 00:00:00,5-0,280,2p_household
280,2024-01-01 00:00:00,11-6,277,2p_household
280,2024-01-01 00:00:00,8-6,279,2p_household
280,2024-01-01 00:00:00,8-1,283,2p_household
260,2024-01-01 00:00:00,3-2,268,2p_household
260,2024-01-01 00:00:00,13-1,263,2p_household
260,2024-01-01 00:00:00,13-0,261,2p_household
260,2024-01-01 00:00:00,5-8,262,2p_household
260,2024-01-01 00:00:00,11-4,261,2p_household
260,2024-01-01 00:00:00,8-3,264,2p_household
170,2024-01-01 00:00:00,3-8,167,1p_household
170,2024-01-01 00:00:00,3-7,166,1p_household
170,2024-01-01 00:00:00,3-1,167,1p_household
170,2024-01-01 00:00:00,13-8,168,1p_household
170,2024-01-01 00:00:00,13-4,169,1p_household
170,2024-01-01 00:00:00,5-10,167,1p_household
170,2024-01-01 00:00:00,5-1,170,1p_household
170,2024-01-01 00:00:00,11-8,166,1p_household
170,2024-01-01 00:00:00,11-2,170,1p_household
170,2024-01-01 00:00:00,11-1,165,1p_household
170,2024-01-01 00:00:00,11-0,171,1p_household
170,2024-01-01 00:00:00,8-4,166,1p_household
170,2024-01-01 00:00:00,8-2,166,1p_household
170,2024-01-01 00:00:00,8-0,171,1p_household
160,2024-01-01 00:00:00,3-5,161,1p_household
160,2024-01-01 00:00:00,13-3,161,1p_household
160,2024-01-01 00:00:00,13-2,163,1p_household
160,2024-01-01 00:00:00,5-4,161,1p_household
160,2024-01-01 00:00:00,5-3,163,1p_household
160,2024-01-01 00:00:00,5-2,162,1p_household
160,2024-01-01 00:00:00,11-5,158,1p_household
1120,2024-01-01 00:15:00,3-3,1133,store
380,2024-01-01 00:15:00,13-7,372,4p_household
360,2024-01-01 00:15:00,3-0,368,4p_household
360,2024-01-01 00:15:00,13-5,355,4p_household
360,2024-01-01 00:15:00,5-9,355,4p_household
360,2024-01-01 00:15:00,5-7,365,4p_household
360,2024-01-01 00:15:00,11-7,365,3p_household
360,2024-01-01 00:15:00,11-3,365,3p_household
360,2024-01-01 00:15:00,8-5,362,3p_household
340,2024-01-01 00:15:00,5-6,341,4p_household
260,2024-01-01 00:15:00,3-6,254,2p_household
260,2024-01-01 00:15:00,3-4,257,2p_household
260,2024-01-01 00:15:00,5-0,255,2p_household
260,2024-01-01 00:15:00,8-1,257,2p_household
260,2024-01-01 00:15:00,3-2,254,2p_household
260,2024-01-01 00:15:00,13-0,253,2p_household
240,2024-01-01 00:15:00,13-6,235,2p_household
240,2024-01-01 00:15:00,13-1,240,2p_household
240,2024-01-01 00:15:00,5-8,239,2p_household
240,2024-01-01 00:15:00,5-5,238,2p_household
240,2024-01-01 00:15:00,11-6,249,2p_household
240,2024-01-01 00:15:00,11-4,237,2p_household
240,2024-01-01 00:15:00,8-6,237,2p_household
240,2024-01-01 00:15:00,8-3,238,2p_household
160,2024-01-01 00:15:00,13-4,156,1p_household
160,2024-01-01 00:15:00,11-2,155,1p_household
160,2024-01-01 00:15:00,11-1,156,1p_household
160,2024-01-01 00:15:00,3-5,155,1p_household
160,2024-01-01 00:15:00,13-3,156,1p_household
150,2024-01-01 00:15:00,3-8,149,1p_household
150,2024-01-01 00:15:00,3-7,152,1p_household
150,2024-01-01 00:15:00,3-1,153,1p_household
150,2024-01-01 00:15:00,13-8,147,1p_household
150,2024-01-01 00:15:00,13-2,151,1p_household
150,2024-01-01 00:15:00,5-10,151,1p_household
150,2024-01-01 00:15:00,5-4,154,1p_household
150,2024-01-01 00:15:00,5-3,145,1p_household
150,2024-01-01 00:15:00,5-2,149,1p_household
150,2024-01-01 00:15:00,5-1,148,1p_household
150,2024-01-01 00:15:00,11-8,150,1p_household
150,2024-01-01 00:15:00,11-5,151,1p_household
150,2024-01-01 00:15:00,8-4,152,1p_household
150,2024-01-01 00:15:00,8-2,148,1p_household
140,2024-01-01 00:15:00,11-0,142,1p_household
140,2024-01-01 00:15:00,8-0,143,1p_household
1120,2024-01-01 00:30:00,3-3,1103,store
340,2024-01-01 00:30:00,13-7,331,4p_household
340,2024-01-01 00:30:00,11-3,331,3p_household
320,2024-01-01 00:30:00,3-0,321,4p_household
320,2024-01-01 00:30:00,5-9,316,4p_household
320,2024-01-01 00:30:00,5-6,321,4p_household
320,2024-01-01 00:30:00,11-7,311,3p_household
320,2024-01-01 00:30:00,8-5,316,3p_household
300,2024-01-01 00:30:00,13-5,307,4p_household
300,2024-01-01 00:30:00,5-7,308,4p_household
240,2024-01-01 00:30:00,13-1,231,2p_household
240,2024-01-01 00:30:00,8-3,231,2p_household
220,2024-01-01 00:30:00,3-6,221,2p_household
220,2024-01-01 00:30:00,3-4,221,2p_household
220,2024-01-01 00:30:00,3-2,224,2p_household
220,2024-01-01 00:30:00,13-6,229,2p_household
220,2024-01-01 00:30:00,13-0,212,2p_household
220,2024-01-01 00:30:00,5-8,217,2p_household
220,2024-01-01 00:30:00,5-5,211,2p_household
220,2024-01-01 00:30:00,5-0,217,2p_household
220,2024-01-01 00:30:00,11-6,210,2p_household
220,2024-01-01 00:30:00,11-4,226,2p_household
220,2024-01-01 00:30:00,8-6,217,2p_household
220,2024-01-01 00:30:00,8-1,228,2p_household
140,2024-01-01 00:30:00,13-8,137,1p_household
140,2024-01-01 00:30:00,5-3,137,1p_household
140,2024-01-01 00:30:00,11-8,139,1p_household
140,2024-01-01 00:30:00,11-5,138,1p_household
140,2024-01-01 00:30:00,11-1,138,1p_household
140,2024-01-01 00:30:00,8-4,137,1p_household
140,2024-01-01 00:30:00,11-0,139,1p_household
130,2024-01-01 00:30:00,3-8,129,1p_household
130,2024-01-01 00:30:00,3-7,129,1p_household
130,2024-01-01 00:30:00,3-5,131,1p_household
130,2024-01-01 00:30:00,3-1,132,1p_household
130,2024-01-01 00:30:00,13-4,131,1p_household
130,2024-01-01 00:30:00,13-3,131,1p_household
130,2024-01-01 00:30:00,13-2,130,1p_household
130,2024-01-01 00:30:00,5-10,128,1p_household
130,2024-01-01 00:30:00,5-4,127,1p_household
130,2024-01-01 00:30:00,5-2,127,1p_household
130,2024-01-01 00:30:00,5-1,131,1p_household
130,2024-01-01 00:30:00,11-2,130,1p_household
130,2024-01-01 00:30:00,8-2,130,1p_household
130,2024-01-01 00:30:00,8-0,130,1p_household
1040,2024-01-01 00:45:00,3-3,1047,store
300,2024-01-01 00:45:00,3-0,295,4p_household
300,2024-01-01 00:45:00,5-9,301,4p_household
300,2024-01-01 00:45:00,5-6,290,4p_household
300,2024-01-01 00:45:00,13-5,291,4p_household
300,2024-01-01 00:45:00,5-7,290,4p_household
280,2024-01-01 00:45:00,13-7,288,4p_household
280,2024-01-01 00:45:00,11-7,281,3p_household
280,2024-01-01 00:45:00,11-3,281,3p_household
280,2024-01-01 00:45:00,8-5,283,3p_household
200,2024-01-01 00:45:00,3-4,208,2p_household
200,2024-01-01 00:45:00,13-6,201,2p_household
200,2024-01-01 00:45:00,13-1,209,2p_household
200,2024-01-01 00:45:00,13-0,202,2p_household
200,2024-01-01 00:45:00,5-8,203,2p_household
200,2024-01-01 00:45:00,5-0,203,2p_household
200,2024-01-01 00:45:00,11-6,197,2p_household
200,2024-01-01 00:45:00,11-4,201,2p_household
200,2024-01-01 00:45:00,8-6,195,2p_household
200,2024-01-01 00:45:00,8-3,195,2p_household
200,2024-01-01 00:45:00,8-1,206,2p_household
190,2024-01-01 00:45:00,3-6,193,2p_household
190,2024-01-01 00:45:00,3-2,193,2p_household
190,2024-01-01 00:45:00,5-5,190,2p_household
130,2024-01-01 00:45:00,3-1,125,1p_household
120,2024-01-01 00:45:00,3-8,120,1p_household
120,2024-01-01 00:45:00,3-7,117,1p_household
120,2024-01-01 00:45:00,3-5,118,1p_household
120,2024-01-01 00:45:00,13-8,118,1p_household
120,2024-01-01 00:45:00,13-4,122,1p_household
120,2024-01-01 00:45:00,13-3,120,1p_household
120,2024-01-01 00:45:00,13-2,116,1p_household
120,2024-01-01 00:45:00,5-10,117,1p_household
120,2024-01-01 00:45:00,5-4,116,1p_household
120,2024-01-01 00:45:00,5-3,121,1p_household
120,2024-01-01 00:45:00,5-2,122,1p_household
120,2024-01-01 00:45:00,5-1,123,1p_household
120,2024-01-01 00:45:00,11-8,115,1p_household
120,2024-01-01 00:45:00,11-5,121,1p_household
120,2024-01-01 00:45:00,11-2,122,1p_household
120,2024-01-01 00:45:00,11-1,122,1p_household
120,2024-01-01 00:45:00,11-0,119,1p_household
120,2024-01-01 00:45:00,8-4,120,1p_household
120,2024-01-01 00:45:00,8-2,120,1p_household
120,2024-01-01 00:45:00,8-0,124,1p_household
960,2024-01-01 01:00:00,3-3,999,store
280,2024-01-01 01:00:00,13-7,273,4p_household
280,2024-01-01 01:00:00,11-7,274,3p_household
280,2024-01-01 01:00:00,8-5,273,3p_household
260,2024-01-01 01:00:00,3-0,253,4p_household
260,2024-01-01 01:00:00,13-5,262,4p_household
260,2024-01-01 01:00:00,5-9,266,4p_household
260,2024-01-01 01:00:00,5-7,252,4p_household
260,2024-01-01 01:00:00,5-6,263,4p_household
260,2024-01-01 01:00:00,11-3,252,3p_household
190,2024-01-01 01:00:00,3-4,186,2p_household
190,2024-01-01 01:00:00,13-6,185,2p_household
190,2024-01-01 01:00:00,13-1,190,2p_household
190,2024-01-01 01:00:00,13-0,189,2p_household
190,2024-01-01 01:00:00,5-8,188,2p_household
190,2024-01-01 01:00:00,5-0,188,2p_household
190,2024-01-01 01:00:00,8-1,189,2p_household
190,2024-01-01 01:00:00,3-6,190,2p_household
190,2024-01-01 01:00:00,5-5,187,2p_household
180,2024-01-01 01:00:00,3-2,184,2p_household
180,2024-01-01 01:00:00,11-6,177,2p_household
180,2024-01-01 01:00:00,11-4,175,2p_household
180,2024-01-01 01:00:00,8-3,180,2p_household
170,2024-01-01 01:00:00,8-6,174,2p_household
120,2024-01-01 01:00:00,3-7,115,1p_household
110,2024-01-01 01:00:00,3-8,108,1p_household
110,2024-01-01 01:00:00,3-5,109,1p_household
110,2024-01-01 01:00:00,3-1,113,1p_household
110,2024-01-01 01:00:00,13-8,109,1p_household
110,2024-01-01 01:00:00,13-4,112,1p_household
110,2024-01-01 01:00:00,13-3,105,1p_household
110,2024-01-01 01:00:00,13-2,105,1p_household
110,2024-01-01 01:00:00,5-10,112,1p_household
110,2024-01-01 01:00:00,5-4,106,1p_household
110,2024-01-01 01:00:00,5-3,113,1p_household
110,2024-01-01 01:00:00,5-2,112,1p_household
110,2024-01-01 01:00:00,5-1,109,1p_household
110,2024-01-01 01:00:00,11-8,111,1p_household
110,2024-01-01 01:00:00,11-5,114,1p_household
110,2024-01-01 01:00:00,11-2,111,1p_household
110,2024-01-01 01:00:00,11-1,111,1p_household
110,2024-01-01 01:00:00,11-0,108,1p_household
110,2024-01-01 01:00:00,8-4,112,1p_household
110,2024-01-01 01:00:00,8-2,111,1p_household
110,2024-01-01 01:00:00,8-0,105,1p_household
1040,2024-01-01 01:15:00,3-3,1032,store
260,2024-01-01 01:15:00,3-0,250,4p_household
260,2024-01-01 01:15:00,5-7,252,4p_household
260,2024-01-01 01:15:00,11-3,255,3p_household
240,2024-01-01 01:15:00,13-7,240,4p_household
240,2024-01-01 01:15:00,13-5,234,4p_household
240,2024-01-01 01:15:00,5-9,238,4p_household
240,2024-01-01 01:15:00,5-6,246,4p_household
240,2024-01-01 01:15:00,11-7,245,3p_household
240,2024-01-01 01:15:00,8-5,236,3p_household
180,2024-01-01 01:15:00,5-5,175,2p_household
180,2024-01-01 01:15:00,8-1,176,2p_household
180,2024-01-01 01:15:00,8-3,176,2p_household
170,2024-01-01 01:15:00,3-4,171,2p_household
170,2024-01-01 01:15:00,13-6,167,2p_household
170,2024-01-01 01:15:00,13-1,173,2p_household
170,2024-01-01 01:15:00,5-8,166,2p_household
170,2024-01-01 01:15:00,5-0,174,2p_household
170,2024-01-01 01:15:00,11-6,169,2p_household
170,2024-01-01 01:15:00,11-4,166,2p_household
170,2024-01-01 01:15:00,8-6,169,2p_household
160,2024-01-01 01:15:00,3-6,161,2p_household
160,2024-01-01 01:15:00,3-2,164,2p_household
160,2024-01-01 01:15:00,13-0,162,2p_household
110,2024-01-01 01:15:00,3-7,105,1p_household
110,2024-01-01 01:15:00,3-1,106,1p_household
110,2024-01-01 01:15:00,13-4,105,1p_household
110,2024-01-01 01:15:00,5-10,106,1p_household
110,2024-01-01 01:15:00,11-8,105,1p_household
110,2024-01-01 01:15:00,11-2,105,1p_household
100,2024-01-01 01:15:00,3-5,98,1p_household
100,2024-01-01 01:15:00,13-3,99,1p_household
100,2024-01-01 01:15:00,13-2,100,1p_household
100,2024-01-01 01:15:00,5-4,99,1p_household
100,2024-01-01 01:15:00,5-3,104,1p_household
100,2024-01-01 01:15:00,5-2,104,1p_household
100,2024-01-01 01:15:00,5-1,104,1p_household
100,2024-01-01 01:15:00,11-1,100,1p_household
100,2024-01-01 01:15:00,11-0,102,1p_household
100,2024-01-01 01:15:00,8-4,104,1p_household
100,2024-01-01 01:15:00,8-2,102,1p_household
100,2024-01-01 01:15:00,8-0,103,1p_household
95,2024-01-01 01:15:00,3-8,97,1p_household
95,2024-01-01 01:15:00,13-8,97,1p_household
95,2024-01-01 01:15:00,11-5,97,1p_household
960,2024-01-01 01:30:00,3-3,987,store
240,2024-01-01 01:30:00,3-0,233,4p_household
240,2024-01-01 01:30:00,11-7,230,3p_household
240,2024-01-01 01:30:00,8-5,241,3p_household
220,2024-01-01 01:30:00,13-7,225,4p_household
220,2024-01-01 01:30:00,13-5,221,4p_household
220,2024-01-01 01:30:00,5-9,225,4p_household
220,2024-01-01 01:30:00,5-7,223,4p_household
220,2024-01-01 01:30:00,5-6,220,4p_household
220,2024-01-01 01:30:00,11-3,227,3p_household
170,2024-01-01 01:30:00,5-8,166,2p_household
170,2024-01-01 01:30:00,8-6,166,2p_household
160,2024-01-01 01:30:00,3-4,164,2p_household
160,2024-01-01 01:30:00,13-1,157,2p_household
160,2024-01-01 01:30:00,5-5,160,2p_household
160,2024-01-01 01:30:00,5-0,160,2p_household
160,2024-01-01 01:30:00,11-6,157,2p_household
160,2024-01-01 01:30:00,11-4,160,2p_household
160,2024-01-01 01:30:00,3-2,160,2p_household
150,2024-01-01 01:30:00,3-6,153,2p_household
150,2024-01-01 01:30:00,13-6,151,2p_household
150,2024-01-01 01:30:00,13-0,151,2p_household
150,2024-01-01 01:30:00,8-3,154,2p_household
150,2024-01-01 01:30:00,8-1,154,2p_household
100,2024-01-01 01:30:00,13-8,98,1p_household
100,2024-01-01 01:30:00,13-4,100,1p_household
100,2024-01-01 01:30:00,11-8,100,1p_household
100,2024-01-01 01:30:00,11-2,98,1p_household
95,2024-01-01 01:30:00,3-1,93,1p_household
95,2024-01-01 01:30:00,13-3,94,1p_household
95,2024-01-01 01:30:00,13-2,93,1p_household
95,2024-01-01 01:30:00,5-10,97,1p_household
95,2024-01-01 01:30:00,5-4,94,1p_household
95,2024-01-01 01:30:00,5-2,94,1p_household
95,2024-01-01 01:30:00,11-1,94,1p_household
95,2024-01-01 01:30:00,8-4,94,1p_household
95,2024-01-01 01:30:00,8-0,97,1p_household
95,2024-01-01 01:30:00,3-8,93,1p_household
95,2024-01-01 01:30:00,11-5,94,1p_household
90,2024-01-01 01:30:00,3-7,91,1p_household
90,2024-01-01 01:30:00,3-5,91,1p_household
90,2024-01-01 01:30:00,5-3,91,1p_household
90,2024-01-01 01:30:00,5-1,92,1p_household
90,2024-01-01 01:30:00,11-0,92,1p_household
90,2024-01-01 01:30:00,8-2,92,1p_household
1040,2024-01-01 01:45:00,3-3,1022,store
240,2024-01-01 01:45:00,11-3,232,3p_household
220,2024-01-01 01:45:00,3-0,222,4p_household
220,2024-01-01 01:45:00,11-7,229,3p_household
220,2024-01-01 01:45:00,8-5,223,3p_household
220,2024-01-01 01:45:00,13-7,220,4p_household
220,2024-01-01 01:45:00,13-5,222,4p_household
220,2024-01-01 01:45:00,5-9,226,4p_household
220,2024-01-01 01:45:00,5-7,222,4p_household
220,2024-01-01 01:45:00,5-6,212,4p_household
160,2024-01-01 01:45:00,13-6,158,2p_household
160,2024-01-01 01:45:00,8-1,156,2p_household
160,2024-01-01 01:45:00,3-4,158,2p_household
160,2024-01-01 01:45:00,13-1,159,2p_household
160,2024-01-01 01:45:00,5-5,157,2p_household
160,2024-01-01 01:45:00,5-0,156,2p_household
150,2024-01-01 01:45:00,3-2,146,2p_household
150,2024-01-01 01:45:00,5-8,153,2p_household
150,2024-01-01 01:45:00,11-6,151,2p_household
150,2024-01-01 01:45:00,11-4,151,2p_household
150,2024-01-01 01:45:00,8-6,154,2p_household
150,2024-01-01 01:45:00,3-6,150,2p_household
150,2024-01-01 01:45:00,13-0,146,2p_household
150,2024-01-01 01:45:00,8-3,148,2p_household
95,2024-01-01 01:45:00,13-4,96,1p_household
95,2024-01-01 01:45:00,5-3,95,1p_household
95,2024-01-01 01:45:00,5-1,93,1p_household
95,2024-01-01 01:45:00,11-8,93,1p_household
95,2024-01-01 01:45:00,8-2,94,1p_household
95,2024-01-01 01:45:00,13-2,96,1p_household
95,2024-01-01 01:45:00,5-2,95,1p_household
95,2024-01-01 01:45:00,11-5,93,1p_household
90,2024-01-01 01:45:00,3-8,91,1p_household
90,2024-01-01 01:45:00,3-1,91,1p_household
90,2024-01-01 01:45:00,13-8,89,1p_household
90,2024-01-01 01:45:00,13-3,92,1p_household
90,2024-01-01 01:45:00,5-10,89,1p_household
90,2024-01-01 01:45:00,5-4,88,1p_household
90,2024-01-01 01:45:00,11-2,91,1p_household
90,2024-01-01 01:45:00,11-1,91,1p_household
90,2024-01-01 01:45:00,8-4,91,1p_household
90,2024-01-01 01:45:00,8-0,89,1p_household
90,2024-01-01 01:45:00,3-7,90,1p_household
90,2024-01-01 01:45:00,3-5,91,1p_household
90,2024-01-01 01:45:00,11-0,90,1p_household
1040,2024-01-01 02:00:00,3-3,1036,store
220,2024-01-01 02:00:00,3-0,215,4p_household
220,2024-01-01 02:00:00,11-7,211,3p_household
220,2024-01-01 02:00:00,8-5,225,3p_household
220,2024-01-01 02:00:00,13-7,215,4p_household
220,2024-01-01 02:00:00,13-5,219,4p_household
220,2024-01-01 02:00:00,5-9,217,4p_household
220,2024-01-01 02:00:00,11-3,218,3p_household
200,2024-01-01 02:00:00,5-7,208,4p_household
200,2024-01-01 02:00:00,5-6,209,4p_household
160,2024-01-01 02:00:00,3-6,155,2p_household
160,2024-01-01 02:00:00,13-0,155,2p_household
150,2024-01-01 02:00:00,3-4,146,2p_household
150,2024-01-01 02:00:00,13-1,148,2p_household
150,2024-01-01 02:00:00,5-5,147,2p_household
150,2024-01-01 02:00:00,5-0,146,2p_household
150,2024-01-01 02:00:00,3-2,150,2p_household
150,2024-01-01 02:00:00,5-8,147,2p_household
150,2024-01-01 02:00:00,11-6,148,2p_household
150,2024-01-01 02:00:00,11-4,147,2p_household
150,2024-01-01 02:00:00,8-6,146,2p_household
150,2024-01-01 02:00:00,13-6,154,2p_household
150,2024-01-01 02:00:00,8-1,150,2p_household
140,2024-01-01 02:00:00,8-3,141,2p_household
95,2024-01-01 02:00:00,5-3,93,1p_household
95,2024-01-01 02:00:00,11-1,93,1p_household
95,2024-01-01 02:00:00,13-8,93,1p_household
90,2024-01-01 02:00:00,13-4,92,1p_household
90,2024-01-01 02:00:00,13-2,92,1p_household
90,2024-01-01 02:00:00,11-8,88,1p_household
90,2024-01-01 02:00:00,11-5,89,1p_household
90,2024-01-01 02:00:00,3-1,90,1p_household
90,2024-01-01 02:00:00,5-10,89,1p_household
90,2024-01-01 02:00:00,5-4,88,1p_household
90,2024-01-01 02:00:00,8-4,92,1p_household
90,2024-01-01 02:00:00,3-7,89,1p_household
90,2024-01-01 02:00:00,3-5,88,1p_household
90,2024-01-01 02:00:00,5-1,88,1p_household
90,2024-01-01 02:00:00,8-2,91,1p_household
85,2024-01-01 02:00:00,3-8,87,1p_household
85,2024-01-01 02:00:00,13-3,85,1p_household
85,2024-01-01 02:00:00,5-2,85,1p_household
85,2024-01-01 02:00:00,11-2,85,1p_household
85,2024-01-01 02:00:00,11-0,85,1p_household
85,2024-01-01 02:00:00,8-0,86,1p_household
1040,2024-01-01 02:15:00,3-3,1015,store
220,2024-01-01 02:15:00,3-0,219,4p_household
220,2024-01-01 02:15:00,11-7,218,3p_household
220,2024-01-01 02:15:00,8-5,218,3p_household
220,2024-01-01 02:15:00,13-5,211,4p_household
220,2024-01-01 02:15:00,5-6,220,4p_household
200,2024-01-01 02:15:00,13-7,204,4p_household
200,2024-01-01 02:15:00,5-9,207,4p_household
200,2024-01-01 02:15:00,11-3,207,3p_household
200,2024-01-01 02:15:00,5-7,206,4p_household
150,2024-01-01 02:15:00,3-4,148,2p_household
150,2024-01-01 02:15:00,5-0,146,2p_household
150,2024-01-01 02:15:00,3-2,149,2p_household
150,2024-01-01 02:15:00,5-8,147,2p_household
150,2024-01-01 02:15:00,11-4,151,2p_household
150,2024-01-01 02:15:00,8-6,148,2p_household
150,2024-01-01 02:15:00,3-6,149,2p_household
150,2024-01-01 02:15:00,8-3,148,2p_household
140,2024-01-01 02:15:00,13-6,142,2p_household
140,2024-01-01 02:15:00,13-1,141,2p_household
140,2024-01-01 02:15:00,13-0,141,2p_household
140,2024-01-01 02:15:00,5-5,139,2p_household
140,2024-01-01 02:15:00,11-6,139,2p_household
140,2024-01-01 02:15:00,8-1,144,2p_household
90,2024-01-01 02:15:00,5-2,90,1p_household
90,2024-01-01 02:15:00,13-4,92,1p_household
90,2024-01-01 02:15:00,13-2,90,1p_household
90,2024-01-01 02:15:00,11-8,92,1p_household
90,2024-01-01 02:15:00,11-5,91,1p_household
90,2024-01-01 02:15:00,5-4,91,1p_household
90,2024-01-01 02:15:00,11-2,92,1p_household
90,2024-01-01 02:15:00,8-4,91,1p_household
90,2024-01-01 02:15:00,3-7,91,1p_household
90,2024-01-01 02:15:00,3-5,89,1p_household
90,2024-01-01 02:15:00,5-3,88,1p_household
90,2024-01-01 02:15:00,5-1,91,1p_household
85,2024-01-01 02:15:00,3-1,86,1p_household
85,2024-01-01 02:15:00,13-8,86,1p_household
85,2024-01-01 02:15:00,5-10,85,1p_household
85,2024-01-01 02:15:00,11-1,84,1p_household
85,2024-01-01 02:15:00,8-2,86,1p_household
85,2024-01-01 02:15:00,3-8,84,1p_household
85,2024-01-01 02:15:00,13-3,87,1p_household
85,2024-01-01 02:15:00,11-0,86,1p_household
85,2024-01-01 02:15:00,8-0,84,1p_household
1040,2024-01-01 02:30:00,3-3,1010,store
220,2024-01-01 02:30:00,3-0,217,4p_household
220,2024-01-01 02:30:00,11-7,210,3p_household
220,2024-01-01 02:30:00,13-5,215,4p_household
220,2024-01-01 02:30:00,5-6,216,4p_household
200,2024-01-01 02:30:00,8-5,202,3p_household
200,2024-01-01 02:30:00,13-7,207,4p_household
200,2024-01-01 02:30:00,5-9,199,4p_household
200,2024-01-01 02:30:00,11-3,201,3p_household
200,2024-01-01 02:30:00,5-7,205,4p_household
150,2024-01-01 02:30:00,5-5,147,2p_household
150,2024-01-01 02:30:00,5-0,148,2p_household
150,2024-01-01 02:30:00,3-2,146,2p_household
150,2024-01-01 02:30:00,11-6,146,2p_household
150,2024-01-01 02:30:00,8-3,146,2p_household
140,2024-01-01 02:30:00,3-6,141,2p_household
140,2024-01-01 02:30:00,3-4,144,2p_household
140,2024-01-01 02:30:00,5-8,140,2p_household
140,2024-01-01 02:30:00,11-4,144,2p_household
140,2024-01-01 02:30:00,8-6,138,2p_household
140,2024-01-01 02:30:00,13-6,142,2p_household
140,2024-01-01 02:30:00,13-1,137,2p_household
140,2024-01-01 02:30:00,13-0,141,2p_household
140,2024-01-01 02:30:00,8-1,138,2p_household
90,2024-01-01 02:30:00,13-4,90,1p_household
90,2024-01-01 02:30:00,11-5,88,1p_household
90,2024-01-01 02:30:00,3-1,90,1p_household
90,2024-01-01 02:30:00,13-8,91,1p_household
90,2024-01-01 02:30:00,13-3,90,1p_household
90,2024-01-01 02:30:00,5-4,88,1p_household
90,2024-01-01 02:30:00,5-1,89,1p_household
90,2024-01-01 02:30:00,8-2,88,1p_household
85,2024-01-01 02:30:00,3-7,84,1p_household
85,2024-01-01 02:30:00,3-5,85,1p_household
85,2024-01-01 02:30:00,13-2,83,1p_household
85,2024-01-01 02:30:00,5-3,84,1p_household
85,2024-01-01 02:30:00,11-8,84,1p_household
85,2024-01-01 02:30:00,8-4,83,1p_household
85,2024-01-01 02:30:00,5-10,86,1p_household
85,2024-01-01 02:30:00,11-1,84,1p_household
85,2024-01-01 02:30:00,3-8,87,1p_household
85,2024-01-01 02:30:00,5-2,85,1p_household
85,2024-01-01 02:30:00,11-2,84,1p_household
85,2024-01-01 02:30:00,11-0,84,1p_household
85,2024-01-01 02:30:00,8-0,86,1p_household
960,2024-01-01 02:45:00,3-3,985,store
220,2024-01-01 02:45:00,8-5,211,3p_household
220,2024-01-01 02:45:00,5-9,214,4p_household
200,2024-01-01 02:45:00,3-0,203,4p_household
200,2024-01-01 02:45:00,13-5,202,4p_household
200,2024-01-01 02:45:00,11-7,208,3p_household
200,2024-01-01 02:45:00,13-7,209,4p_household
200,2024-01-01 02:45:00,11-3,204,3p_household
200,2024-01-01 02:45:00,5-7,207,4p_household
200,2024-01-01 02:45:00,5-6,200,4p_household
150,2024-01-01 02:45:00,3-4,147,2p_household
150,2024-01-01 02:45:00,8-6,149,2p_household
150,2024-01-01 02:45:00,3-6,149,2p_household
150,2024-01-01 02:45:00,13-6,149,2p_household
150,2024-01-01 02:45:00,8-1,146,2p_household
140,2024-01-01 02:45:00,3-2,140,2p_household
140,2024-01-01 02:45:00,5-0,144,2p_household
140,2024-01-01 02:45:00,5-8,136,2p_household
140,2024-01-01 02:45:00,11-4,144,2p_household
140,2024-01-01 02:45:00,13-1,141,2p_household
140,2024-01-01 02:45:00,13-0,136,2p_household
140,2024-01-01 02:45:00,5-5,143,2p_household
140,2024-01-01 02:45:00,11-6,137,2p_household
140,2024-01-01 02:45:00,8-3,136,2p_household
