msg_count_gwgw,9216,,,
msg_cnt_gw_ce,5088,,,
value,time,ID,orig_measurement,type
1120,2024-01-01 00:00:00,4-10,1134,store
400,2024-01-01 00:00:00,0-0,414,3p_household
400,2024-01-01 00:00:00,10-2,408,3p_household
400,2024-01-01 00:00:00,10-1,411,3p_household
400,2024-01-01 00:00:00,14-1,393,4p_household
400,2024-01-01 00:00:00,14-0,413,3p_household
400,2024-01-01 00:00:00,4-7,408,4p_household
400,2024-01-01 00:00:00,4-1,410,4p_household
400,2024-01-01 00:00:00,4-0,412,3p_household
400,2024-01-01 00:00:00,5-6,414,3p_household
400,2024-01-01 00:00:00,5-4,404,4p_household
400,2024-01-01 00:00:00,5-1,410,3p_household
380,2024-01-01 00:00:00,14-5,386,4p_household
280,2024-01-01 00:00:00,0-2,284,2p_household
280,2024-01-01 00:00:00,14-7,277,2p_household
280,2024-01-01 00:00:00,4-9,271,2p_household
280,2024-01-01 00:00:00,4-8,270,2p_household
280,2024-01-01 00:00:00,4-5,275,2p_household
280,2024-01-01 00:00:00,5-7,273,2p_household
280,2024-01-01 00:00:00,5-0,272,2p_household
260,2024-01-01 00:00:00,0-1,259,2p_household
260,2024-01-01 00:00:00,10-7,268,2p_household
260,2024-01-01 00:00:00,10-5,259,2p_household
260,2024-01-01 00:00:00,10-3,267,2p_household
260,2024-01-01 00:00:00,10-0,259,2p_household
260,2024-01-01 00:00:00,14-8,264,2p_household
260,2024-01-01 00:00:00,14-4,267,2p_household
260,2024-01-01 00:00:00,4-6,265,2p_household
260,2024-01-01 00:00:00,4-3,269,2p_household
260,2024-01-01 00:00:00,5-5,263,2p_household
260,2024-01-01 00:00:00,5-3,259,2p_household
170,2024-01-01 00:00:00,0-4,168,1p_household
170,2024-01-01 00:00:00,0-3,168,1p_household
170,2024-01-01 00:00:00,10-9,167,1p_household
170,2024-01-01 00:00:00,10-8,168,1p_household
170,2024-01-01 00:00:00,10-4,172,1p_household
170,2024-01-01 00:00:00,14-6,170,1p_household
170,2024-01-01 00:00:00,14-3,166,1p_household
170,2024-01-01 00:00:00,4-4,165,1p_household
170,2024-01-01 00:00:00,4-2,167,1p_household
170,2024-01-01 00:00:00,5-2,169,1p_household
160,2024-01-01 00:00:00,0-6,161,1p_household
160,2024-01-01 00:00:00,0-5,161,1p_household
160,2024-01-01 00:00:00,10-6,160,1p_household
160,2024-01-01 00:00:00,14-9,161,1p_household
160,2024-01-01 00:00:00,14-2,164,1p_household
160,2024-01-01 00:00:00,4-12,158,1p_household
160,2024-01-01 00:00:00,4-11,162,1p_household
1120,2024-01-01 00:15:00,4-10,1121,store
380,2024-01-01 00:15:00,0-0,373,3p_household
380,2024-01-01 00:15:00,5-4,372,4p_household
380,2024-01-01 00:15:00,14-5,375,4p_household
360,2024-01-01 00:15:00,10-2,357,3p_household
360,2024-01-01 00:15:00,14-1,361,4p_household
340,2024-01-01 00:15:00,10-1,347,3p_household
340,2024-01-01 00:15:00,14-0,341,3p_household
340,2024-01-01 00:15:00,4-7,342,4p_household
340,2024-01-01 00:15:00,4-1,343,4p_household
340,2024-01-01 00:15:00,4-0,344,3p_household
340,2024-01-01 00:15:00,5-6,348,3p_household
340,2024-01-01 00:15:00,5-1,347,3p_household
260,2024-01-01 00:15:00,4-9,254,2p_household
260,2024-01-01 00:15:00,4-8,255,2p_household
260,2024-01-01 00:15:00,14-8,254,2p_household
260,2024-01-01 00:15:00,14-4,250,2p_household
260,2024-01-01 00:15:00,4-3,256,2p_household
240,2024-01-01 00:15:00,0-2,237,2p_household
240,2024-01-01 00:15:00,0-1,236,2p_household
240,2024-01-01 00:15:00,10-7,235,2p_household
240,2024-01-01 00:15:00,10-5,235,2p_household
240,2024-01-01 00:15:00,10-3,244,2p_household
240,2024-01-01 00:15:00,10-0,243,2p_household
240,2024-01-01 00:15:00,14-7,245,2p_household
240,2024-01-01 00:15:00,4-6,241,2p_household
240,2024-01-01 00:15:00,4-5,238,2p_household
240,2024-01-01 00:15:00,5-7,246,2p_household
240,2024-01-01 00:15:00,5-5,245,2p_household
240,2024-01-01 00:15:00,5-3,237,2p_household
240,2024-01-01 00:15:00,5-0,238,2p_household
160,2024-01-01 00:15:00,0-3,156,1p_household
160,2024-01-01 00:15:00,10-9,156,1p_household
160,2024-01-01 00:15:00,4-11,155,1p_household
150,2024-01-01 00:15:00,0-6,146,1p_household
150,2024-01-01 00:15:00,0-5,149,1p_household
150,2024-01-01 00:15:00,0-4,148,1p_household
150,2024-01-01 00:15:00,10-8,151,1p_household
150,2024-01-01 00:15:00,10-4,148,1p_household
150,2024-01-01 00:15:00,14-9,148,1p_household
150,2024-01-01 00:15:00,14-6,148,1p_household
150,2024-01-01 00:15:00,14-2,149,1p_household
150,2024-01-01 00:15:00,4-12,151,1p_household
150,2024-01-01 00:15:00,4-4,146,1p_household
150,2024-01-01 00:15:00,4-2,145,1p_household
150,2024-01-01 00:15:00,5-2,153,1p_household
140,2024-01-01 00:15:00,10-6,144,1p_household
140,2024-01-01 00:15:00,14-3,144,1p_household
1040,2024-01-01 00:30:00,4-10,1048,store
340,2024-01-01 00:30:00,5-6,333,3p_household
320,2024-01-01 00:30:00,10-1,329,3p_household
320,2024-01-01 00:30:00,14-5,313,4p_household
320,2024-01-01 00:30:00,14-1,323,4p_household
320,2024-01-01 00:30:00,4-7,312,4p_household
320,2024-01-01 00:30:00,4-1,322,4p_household
320,2024-01-01 00:30:00,4-0,310,3p_household
320,2024-01-01 00:30:00,5-4,320,4p_household
320,2024-01-01 00:30:00,5-1,321,3p_household
300,2024-01-01 00:30:00,0-0,306,3p_household
300,2024-01-01 00:30:00,10-2,306,3p_household
300,2024-01-01 00:30:00,14-0,306,3p_household
240,2024-01-01 00:30:00,0-1,230,2p_household
240,2024-01-01 00:30:00,14-7,230,2p_household
220,2024-01-01 00:30:00,0-2,225,2p_household
220,2024-01-01 00:30:00,10-7,227,2p_household
220,2024-01-01 00:30:00,10-5,225,2p_household
220,2024-01-01 00:30:00,10-3,213,2p_household
220,2024-01-01 00:30:00,10-0,224,2p_household
220,2024-01-01 00:30:00,14-8,226,2p_household
220,2024-01-01 00:30:00,14-4,221,2p_household
220,2024-01-01 00:30:00,4-9,218,2p_household
220,2024-01-01 00:30:00,4-8,229,2p_household
220,2024-01-01 00:30:00,4-6,220,2p_household
220,2024-01-01 00:30:00,4-5,217,2p_household
220,2024-01-01 00:30:00,4-3,221,2p_household
220,2024-01-01 00:30:00,5-7,225,2p_household
220,2024-01-01 00:30:00,5-5,211,2p_household
220,2024-01-01 00:30:00,5-3,219,2p_household
220,2024-01-01 00:30:00,5-0,216,2p_household
140,2024-01-01 00:30:00,0-6,137,1p_household
140,2024-01-01 00:30:00,0-5,135,1p_household
140,2024-01-01 00:30:00,10-8,135,1p_household
140,2024-01-01 00:30:00,10-4,135,1p_household
140,2024-01-01 00:30:00,14-6,138,1p_household
140,2024-01-01 00:30:00,14-2,138,1p_household
140,2024-01-01 00:30:00,4-12,136,1p_household
140,2024-01-01 00:30:00,14-3,136,1p_household
130,2024-01-01 00:30:00,0-4,128,1p_household
130,2024-01-01 00:30:00,0-3,127,1p_household
130,2024-01-01 00:30:00,10-9,129,1p_household
130,2024-01-01 00:30:00,10-6,127,1p_household
130,2024-01-01 00:30:00,14-9,130,1p_household
130,2024-01-01 00:30:00,4-11,134,1p_household
130,2024-01-01 00:30:00,4-4,132,1p_household
