msg_count_gwgw,8448,,,
msg_cnt_gw_ce,4704,,,
value,time,ID,orig_measurement,type
400,2024-01-01 00:00:00,2-0,391,3p_household
280,2024-01-01 00:00:00,2-1,278,2p_household
160,2024-01-01 00:00:00,2-2,160,1p_household
160,2024-01-01 00:00:00,2-4,157,1p_household
170,2024-01-01 00:00:00,2-3,169,1p_household
170,2024-01-01 00:00:00,2-6,165,1p_household
170,2024-01-01 00:00:00,2-8,167,1p_household
260,2024-01-01 00:00:00,2-5,260,2p_household
380,2024-01-01 00:00:00,2-7,381,3p_household
160,2024-01-01 00:00:00,10-0,158,1p_household
160,2024-01-01 00:00:00,10-3,164,1p_household
160,2024-01-01 00:00:00,10-5,160,1p_household
400,2024-01-01 00:00:00,10-1,414,4p_household
170,2024-01-01 00:00:00,10-2,169,1p_household
170,2024-01-01 00:00:00,10-4,166,1p_household
170,2024-01-01 00:00:00,10-6,170,1p_household
170,2024-01-01 00:00:00,10-7,167,1p_household
380,2024-01-01 00:00:00,10-8,379,3p_household
280,2024-01-01 00:00:00,10-9,271,2p_household
260,2024-01-01 00:00:00,5-0,265,2p_household
260,2024-01-01 00:00:00,5-2,260,2p_household
380,2024-01-01 00:00:00,5-1,383,4p_household
160,2024-01-01 00:00:00,5-3,157,1p_household
160,2024-01-01 00:00:00,5-6,163,1p_household
280,2024-01-01 00:00:00,5-4,283,2p_household
170,2024-01-01 00:00:00,5-5,171,1p_household
400,2024-01-01 00:00:00,1-0,390,4p_household
400,2024-01-01 00:00:00,1-6,395,3p_household
160,2024-01-01 00:00:00,1-1,161,1p_household
160,2024-01-01 00:00:00,1-5,161,1p_household
160,2024-01-01 00:00:00,1-7,161,1p_household
260,2024-01-01 00:00:00,1-2,262,2p_household
170,2024-01-01 00:00:00,1-3,171,1p_household
170,2024-01-01 00:00:00,1-4,167,1p_household
160,2024-01-01 00:00:00,13-0,162,1p_household
160,2024-01-01 00:00:00,13-3,161,1p_household
160,2024-01-01 00:00:00,13-4,164,1p_household
160,2024-01-01 00:00:00,13-5,158,1p_household
160,2024-01-01 00:00:00,13-6,161,1p_household
160,2024-01-01 00:00:00,13-9,157,1p_household
400,2024-01-01 00:00:00,13-1,390,3p_household
