msg_count_gwgw,11232,,,
msg_cnt_gw_ce,5088,,,
value,time,ID,orig_measurement,type
260,2024-01-01 00:00:00,7-0,260,2p_household
170,2024-01-01 00:00:00,7-1,169,1p_household
170,2024-01-01 00:00:00,7-4,168,1p_household
170,2024-01-01 00:00:00,7-5,166,1p_household
170,2024-01-01 00:00:00,7-7,165,1p_household
160,2024-01-01 00:00:00,7-2,164,1p_household
160,2024-01-01 00:00:00,7-6,164,1p_household
280,2024-01-01 00:00:00,7-8,276,2p_household
380,2024-01-01 00:00:00,7-9,385,4p_household
400,2024-01-01 00:00:00,7-10,402,4p_household
170,2024-01-01 00:00:00,9-0,172,1p_household
170,2024-01-01 00:00:00,9-3,165,1p_household
170,2024-01-01 00:00:00,9-9,167,1p_household
170,2024-01-01 00:00:00,9-10,167,1p_household
160,2024-01-01 00:00:00,9-1,158,1p_household
160,2024-01-01 00:00:00,9-4,161,1p_household
380,2024-01-01 00:00:00,9-5,382,4p_household
280,2024-01-01 00:00:00,9-6,273,2p_household
400,2024-01-01 00:00:00,9-7,399,3p_household
280,2024-01-01 00:00:00,10-10,284,2p_household
160,2024-01-01 00:00:00,10-1,157,1p_household
160,2024-01-01 00:00:00,10-2,160,1p_household
380,2024-01-01 00:00:00,10-3,389,3p_household
170,2024-01-01 00:00:00,10-5,171,1p_household
170,2024-01-01 00:00:00,10-6,167,1p_household
170,2024-01-01 00:00:00,10-7,166,1p_household
170,2024-01-01 00:00:00,10-9,167,1p_household
260,2024-01-01 00:00:00,10-8,268,2p_household
260,2024-01-01 00:00:00,10-11,266,2p_household
170,2024-01-01 00:00:00,1-0,165,1p_household
170,2024-01-01 00:00:00,1-3,165,1p_household
170,2024-01-01 00:00:00,1-7,169,1p_household
1760,2024-01-01 00:00:00,1-2,1838,restaurant
1120,2024-01-01 00:00:00,1-4,1085,store
260,2024-01-01 00:00:00,1-5,262,2p_household
280,2024-01-01 00:00:00,1-6,278,2p_household
280,2024-01-01 00:00:00,1-9,274,2p_household
400,2024-01-01 00:00:00,1-8,398,3p_household
160,2024-01-01 00:00:00,6-0,158,1p_household
160,2024-01-01 00:00:00,6-4,157,1p_household
260,2024-01-01 00:00:00,6-5,262,2p_household
260,2024-01-01 00:00:00,6-6,266,2p_household
160,2024-01-01 00:00:00,7-3,161,1p_household
160,2024-01-01 00:00:00,9-8,160,1p_household
380,2024-01-01 00:00:00,9-2,384,3p_household
280,2024-01-01 00:00:00,10-0,282,2p_household
160,2024-01-01 00:00:00,10-12,164,1p_household
170,2024-01-01 00:00:00,10-4,168,1p_household
380,2024-01-01 00:00:00,1-1,382,4p_household
280,2024-01-01 00:00:00,6-1,275,2p_household
170,2024-01-01 00:00:00,6-2,171,1p_household
380,2024-01-01 00:00:00,6-3,388,3p_household
360,2024-01-01 00:15:00,9-5,350,4p_household
240,2024-01-01 00:15:00,10-11,244,2p_household
150,2024-01-01 00:15:00,10-2,152,1p_household
150,2024-01-01 00:15:00,10-4,154,1p_household
150,2024-01-01 00:15:00,10-6,149,1p_household
150,2024-01-01 00:15:00,10-7,146,1p_household
1120,2024-01-01 00:15:00,1-4,1115,store
140,2024-01-01 00:15:00,1-0,142,1p_household
150,2024-01-01 00:15:00,6-0,153,1p_household
260,2024-01-01 00:15:00,7-0,252,2p_household
150,2024-01-01 00:15:00,7-2,154,1p_household
150,2024-01-01 00:15:00,7-4,148,1p_household
160,2024-01-01 00:15:00,9-1,156,1p_household
160,2024-01-01 00:15:00,9-0,155,1p_household
160,2024-01-01 00:15:00,9-3,156,1p_household
380,2024-01-01 00:15:00,9-2,375,3p_household
140,2024-01-01 00:15:00,9-4,144,1p_household
140,2024-01-01 00:15:00,9-8,142,1p_household
260,2024-01-01 00:15:00,9-6,253,2p_household
340,2024-01-01 00:15:00,9-7,346,3p_household
150,2024-01-01 00:15:00,9-9,151,1p_household
150,2024-01-01 00:15:00,9-10,154,1p_household
160,2024-01-01 00:15:00,10-1,156,1p_household
260,2024-01-01 00:15:00,10-8,253,2p_household
260,2024-01-01 00:15:00,10-10,253,2p_household
240,2024-01-01 00:15:00,10-0,243,2p_household
150,2024-01-01 00:15:00,10-5,145,1p_household
150,2024-01-01 00:15:00,10-9,149,1p_household
150,2024-01-01 00:15:00,10-12,148,1p_household
360,2024-01-01 00:15:00,10-3,369,3p_household
260,2024-01-01 00:15:00,1-9,252,2p_household
140,2024-01-01 00:15:00,1-3,143,1p_household
340,2024-01-01 00:15:00,1-1,349,4p_household
1600,2024-01-01 00:15:00,1-2,1588,restaurant
240,2024-01-01 00:15:00,1-5,248,2p_household
240,2024-01-01 00:15:00,1-6,234,2p_household
150,2024-01-01 00:15:00,1-7,148,1p_household
360,2024-01-01 00:15:00,1-8,351,3p_household
160,2024-01-01 00:15:00,6-4,155,1p_household
160,2024-01-01 00:15:00,6-2,156,1p_household
260,2024-01-01 00:15:00,6-5,256,2p_household
240,2024-01-01 00:15:00,6-1,249,2p_household
240,2024-01-01 00:15:00,6-6,237,2p_household
340,2024-01-01 00:15:00,6-3,346,3p_household
160,2024-01-01 00:15:00,7-7,156,1p_household
150,2024-01-01 00:15:00,7-1,152,1p_household
150,2024-01-01 00:15:00,7-3,146,1p_household
150,2024-01-01 00:15:00,7-5,146,1p_household
150,2024-01-01 00:15:00,7-6,145,1p_household
240,2024-01-01 00:15:00,7-8,242,2p_household
360,2024-01-01 00:15:00,7-9,354,4p_household
360,2024-01-01 00:15:00,7-10,356,4p_household
220,2024-01-01 00:30:00,10-11,212,2p_household
140,2024-01-01 00:30:00,10-4,139,1p_household
140,2024-01-01 00:30:00,10-5,136,1p_household
140,2024-01-01 00:30:00,1-7,139,1p_household
130,2024-01-01 00:30:00,6-0,129,1p_household
220,2024-01-01 00:30:00,6-6,219,2p_household
130,2024-01-01 00:30:00,7-3,128,1p_household
130,2024-01-01 00:30:00,7-4,129,1p_household
220,2024-01-01 00:30:00,7-8,211,2p_household
340,2024-01-01 00:30:00,9-2,334,3p_household
130,2024-01-01 00:30:00,9-0,134,1p_household
220,2024-01-01 00:30:00,9-6,210,2p_household
220,2024-01-01 00:30:00,10-0,216,2p_household
220,2024-01-01 00:30:00,10-8,210,2p_household
220,2024-01-01 00:30:00,10-10,216,2p_household
130,2024-01-01 00:30:00,10-1,129,1p_household
130,2024-01-01 00:30:00,10-2,133,1p_household
130,2024-01-01 00:30:00,10-6,133,1p_household
130,2024-01-01 00:30:00,10-12,130,1p_household
320,2024-01-01 00:30:00,10-3,321,3p_household
140,2024-01-01 00:30:00,10-7,136,1p_household
140,2024-01-01 00:30:00,10-9,136,1p_household
140,2024-01-01 00:30:00,1-3,135,1p_household
130,2024-01-01 00:30:00,1-0,129,1p_household
320,2024-01-01 00:30:00,1-1,316,4p_household
320,2024-01-01 00:30:00,1-8,317,3p_household
1440,2024-01-01 00:30:00,1-2,1472,restaurant
1040,2024-01-01 00:30:00,1-4,1079,store
220,2024-01-01 00:30:00,1-5,212,2p_household
220,2024-01-01 00:30:00,1-6,224,2p_household
220,2024-01-01 00:30:00,1-9,211,2p_household
130,2024-01-01 00:30:00,6-4,130,1p_household
220,2024-01-01 00:30:00,6-1,229,2p_household
220,2024-01-01 00:30:00,6-5,211,2p_household
140,2024-01-01 00:30:00,6-2,138,1p_household
320,2024-01-01 00:30:00,6-3,314,3p_household
240,2024-01-01 00:30:00,7-0,231,2p_household
130,2024-01-01 00:30:00,7-1,129,1p_household
