msg_count_gwgw,9888,,,
msg_cnt_gw_ce,4416,,,
value,time,ID,orig_measurement,type
130,2024-01-01 00:30:00,11-8,130,1p_household
140,2024-01-01 00:30:00,11-2,138,1p_household
300,2024-01-01 00:30:00,11-3,306,3p_household
220,2024-01-01 00:30:00,11-4,213,2p_household
320,2024-01-01 00:30:00,11-7,317,3p_household
140,2024-01-01 00:30:00,13-4,135,1p_household
140,2024-01-01 00:30:00,13-3,139,1p_household
140,2024-01-01 00:30:00,13-8,138,1p_household
220,2024-01-01 00:30:00,13-0,219,2p_household
220,2024-01-01 00:30:00,13-6,217,2p_household
320,2024-01-01 00:30:00,13-5,311,4p_household
320,2024-01-01 00:30:00,13-7,310,4p_household
140,2024-01-01 00:30:00,13-2,138,1p_household
220,2024-01-01 00:30:00,13-1,224,2p_household
280,2024-01-01 00:45:00,5-9,279,4p_household
280,2024-01-01 00:45:00,8-5,288,3p_household
120,2024-01-01 00:45:00,13-3,119,1p_household
280,2024-01-01 00:45:00,13-5,281,4p_household
200,2024-01-01 00:45:00,3-6,196,2p_household
120,2024-01-01 00:45:00,3-8,117,1p_household
280,2024-01-01 00:45:00,5-6,279,4p_household
130,2024-01-01 00:45:00,5-4,126,1p_household
190,2024-01-01 00:45:00,5-0,190,2p_household
120,2024-01-01 00:45:00,5-1,123,1p_household
120,2024-01-01 00:45:00,5-2,120,1p_household
120,2024-01-01 00:45:00,5-3,122,1p_household
120,2024-01-01 00:45:00,5-10,123,1p_household
200,2024-01-01 00:45:00,5-5,208,2p_household
200,2024-01-01 00:45:00,5-8,197,2p_household
300,2024-01-01 00:45:00,5-7,303,4p_household
130,2024-01-01 00:45:00,8-0,126,1p_household
130,2024-01-01 00:45:00,8-4,126,1p_household
200,2024-01-01 00:45:00,8-1,200,2p_household
200,2024-01-01 00:45:00,8-3,200,2p_household
200,2024-01-01 00:45:00,8-6,208,2p_household
120,2024-01-01 00:45:00,8-2,117,1p_household
280,2024-01-01 00:45:00,11-7,283,3p_household
130,2024-01-01 00:45:00,11-8,126,1p_household
300,2024-01-01 00:45:00,11-3,297,3p_household
120,2024-01-01 00:45:00,11-0,124,1p_household
120,2024-01-01 00:45:00,11-1,116,1p_household
120,2024-01-01 00:45:00,11-2,119,1p_household
120,2024-01-01 00:45:00,11-5,116,1p_household
190,2024-01-01 00:45:00,11-4,194,2p_household
190,2024-01-01 00:45:00,11-6,193,2p_household
200,2024-01-01 00:45:00,13-0,196,2p_household
200,2024-01-01 00:45:00,13-1,197,2p_household
200,2024-01-01 00:45:00,13-6,204,2p_household
120,2024-01-01 00:45:00,13-2,120,1p_household
120,2024-01-01 00:45:00,13-4,116,1p_household
120,2024-01-01 00:45:00,13-8,122,1p_household
300,2024-01-01 00:45:00,13-7,301,4p_household
1120,2024-01-01 00:45:00,3-3,1112,store
280,2024-01-01 00:45:00,3-0,286,4p_household
130,2024-01-01 00:45:00,3-1,125,1p_household
200,2024-01-01 00:45:00,3-2,198,2p_household
190,2024-01-01 00:45:00,3-4,191,2p_household
120,2024-01-01 00:45:00,3-5,120,1p_household
120,2024-01-01 00:45:00,3-7,119,1p_household
190,2024-01-01 01:00:00,8-1,187,2p_household
180,2024-01-01 01:00:00,8-3,176,2p_household
260,2024-01-01 01:00:00,11-7,267,3p_household
110,2024-01-01 01:00:00,11-1,105,1p_household
190,2024-01-01 01:00:00,13-1,187,2p_household
180,2024-01-01 01:00:00,13-6,184,2p_household
110,2024-01-01 01:00:00,5-10,106,1p_household
260,2024-01-01 01:00:00,8-5,269,3p_household
120,2024-01-01 01:00:00,8-0,115,1p_household
110,2024-01-01 01:00:00,8-2,105,1p_household
110,2024-01-01 01:00:00,8-4,114,1p_household
180,2024-01-01 01:00:00,8-6,176,2p_household
170,2024-01-01 01:00:00,11-4,174,2p_household
260,2024-01-01 01:00:00,11-3,267,3p_household
190,2024-01-01 01:00:00,11-6,189,2p_household
110,2024-01-01 01:00:00,11-0,107,1p_household
110,2024-01-01 01:00:00,11-2,112,1p_household
110,2024-01-01 01:00:00,11-5,110,1p_household
110,2024-01-01 01:00:00,11-8,106,1p_household
260,2024-01-01 01:00:00,13-5,251,4p_household
260,2024-01-01 01:00:00,13-7,258,4p_household
170,2024-01-01 01:00:00,13-0,174,2p_household
110,2024-01-01 01:00:00,13-2,112,1p_household
110,2024-01-01 01:00:00,13-3,105,1p_household
110,2024-01-01 01:00:00,13-4,108,1p_household
110,2024-01-01 01:00:00,13-8,107,1p_household
260,2024-01-01 01:00:00,3-0,268,4p_household
190,2024-01-01 01:00:00,3-4,186,2p_household
190,2024-01-01 01:00:00,3-6,190,2p_household
110,2024-01-01 01:00:00,3-1,110,1p_household
110,2024-01-01 01:00:00,3-5,111,1p_household
110,2024-01-01 01:00:00,3-7,113,1p_household
110,2024-01-01 01:00:00,3-8,109,1p_household
180,2024-01-01 01:00:00,3-2,181,2p_household
1040,2024-01-01 01:00:00,3-3,1020,store
260,2024-01-01 01:00:00,5-7,268,4p_household
170,2024-01-01 01:00:00,5-0,174,2p_household
280,2024-01-01 01:00:00,5-6,271,4p_household
280,2024-01-01 01:00:00,5-9,275,4p_household
110,2024-01-01 01:00:00,5-1,110,1p_household
110,2024-01-01 01:00:00,5-2,109,1p_household
110,2024-01-01 01:00:00,5-3,109,1p_household
110,2024-01-01 01:00:00,5-4,106,1p_household
180,2024-01-01 01:00:00,5-5,178,2p_household
180,2024-01-01 01:00:00,5-8,178,2p_household
100,2024-01-01 01:15:00,13-8,104,1p_household
110,2024-01-01 01:15:00,3-1,106,1p_household
170,2024-01-01 01:15:00,11-4,166,2p_household
170,2024-01-01 01:15:00,11-6,165,2p_household
260,2024-01-01 01:15:00,11-3,253,3p_household
260,2024-01-01 01:15:00,11-7,252,3p_household
110,2024-01-01 01:15:00,11-2,106,1p_household
110,2024-01-01 01:15:00,11-5,105,1p_household
100,2024-01-01 01:15:00,11-0,102,1p_household
100,2024-01-01 01:15:00,11-1,104,1p_household
95,2024-01-01 01:15:00,11-8,97,1p_household
160,2024-01-01 01:15:00,13-0,164,2p_household
170,2024-01-01 01:15:00,13-1,174,2p_household
170,2024-01-01 01:15:00,13-6,173,2p_household
240,2024-01-01 01:15:00,13-5,249,4p_household
240,2024-01-01 01:15:00,13-7,239,4p_household
110,2024-01-01 01:15:00,13-2,106,1p_household
110,2024-01-01 01:15:00,13-3,105,1p_household
100,2024-01-01 01:15:00,13-4,98,1p_household
160,2024-01-01 01:15:00,3-2,161,2p_household
160,2024-01-01 01:15:00,3-4,161,2p_household
170,2024-01-01 01:15:00,3-6,167,2p_household
240,2024-01-01 01:15:00,3-0,247,4p_household
1040,2024-01-01 01:15:00,3-3,1029,store
100,2024-01-01 01:15:00,3-5,103,1p_household
100,2024-01-01 01:15:00,3-7,103,1p_household
100,2024-01-01 01:15:00,3-8,102,1p_household
160,2024-01-01 01:15:00,5-5,161,2p_household
160,2024-01-01 01:15:00,5-8,163,2p_household
170,2024-01-01 01:15:00,5-0,170,2p_household
240,2024-01-01 01:15:00,5-6,245,4p_household
240,2024-01-01 01:15:00,5-7,235,4p_household
240,2024-01-01 01:15:00,5-9,242,4p_household
110,2024-01-01 01:15:00,5-2,105,1p_household
100,2024-01-01 01:15:00,5-1,100,1p_household
100,2024-01-01 01:15:00,5-4,99,1p_household
100,2024-01-01 01:15:00,5-10,103,1p_household
95,2024-01-01 01:15:00,5-3,97,1p_household
240,2024-01-01 01:15:00,8-5,233,3p_household
110,2024-01-01 01:15:00,8-0,106,1p_household
180,2024-01-01 01:15:00,8-6,175,2p_household
180,2024-01-01 01:15:00,8-1,176,2p_household
