1704063600.0,5-0,280
1704063600.0,5-1,400
1704063600.0,5-2,170
1704063600.0,5-3,260
1704063600.0,5-4,400
1704063600.0,5-5,260
1704063600.0,5-6,400
1704063600.0,5-7,280
1704063600.0,4-0,400
1704063600.0,4-1,400
1704063600.0,4-2,170
1704063600.0,4-3,260
1704063600.0,4-4,170
1704063600.0,4-5,280
1704063600.0,4-6,260
1704063600.0,4-7,400
1704063600.0,4-8,280
1704063600.0,4-9,280
1704063600.0,4-10,1120
1704063600.0,4-11,160
1704063600.0,4-12,160
1704063600.0,14-0,400
1704063600.0,14-1,400
1704063600.0,14-2,160
1704063600.0,14-3,170
1704063600.0,14-4,260
1704063600.0,14-5,380
1704063600.0,14-6,170
1704063600.0,14-7,280
1704063600.0,14-8,260
1704063600.0,14-9,160
1704063600.0,10-0,260
1704063600.0,10-1,400
1704063600.0,10-2,400
1704063600.0,10-3,260
1704063600.0,10-4,170
1704063600.0,10-5,260
1704063600.0,10-6,160
1704063600.0,10-7,260
1704063600.0,10-8,170
1704063600.0,10-9,170
1704063600.0,0-0,400
1704063600.0,0-1,260
1704063600.0,0-2,280
1704063600.0,0-3,170
1704063600.0,0-4,170
1704063600.0,0-5,160
1704063600.0,0-6,160
1704064500.0,5-0,240
1704064500.0,5-1,340
1704064500.0,5-2,150
1704064500.0,5-3,240
1704064500.0,5-4,380
1704064500.0,5-5,240
1704064500.0,5-6,340
1704064500.0,5-7,240
1704064500.0,4-0,340
1704064500.0,4-1,340
1704064500.0,4-2,150
1704064500.0,4-3,260
1704064500.0,4-4,150
1704064500.0,4-5,240
1704064500.0,4-6,240
1704064500.0,4-7,340
1704064500.0,4-8,260
1704064500.0,4-9,260
1704064500.0,4-10,1120
1704064500.0,4-11,160
1704064500.0,4-12,150
1704064500.0,14-0,340
1704064500.0,14-1,360
1704064500.0,14-2,150
1704064500.0,14-3,140
1704064500.0,14-4,260
1704064500.0,14-5,380
1704064500.0,14-6,150
1704064500.0,14-7,240
1704064500.0,14-8,260
1704064500.0,14-9,150
1704064500.0,10-0,240
1704064500.0,10-1,340
1704064500.0,10-2,360
1704064500.0,10-3,240
1704064500.0,10-4,150
1704064500.0,10-5,240
1704064500.0,10-6,140
1704064500.0,10-7,240
1704064500.0,10-8,150
1704064500.0,10-9,160
1704064500.0,0-0,380
1704064500.0,0-1,240
1704064500.0,0-2,240
1704064500.0,0-3,160
1704064500.0,0-4,150
1704064500.0,0-5,150
1704064500.0,0-6,150
1704065400.0,5-0,220
1704065400.0,5-1,320
1704065400.0,5-2,130
1704065400.0,5-3,220
1704065400.0,5-4,320
1704065400.0,5-5,220
1704065400.0,5-6,340
1704065400.0,5-7,220
1704065400.0,4-0,320
1704065400.0,4-1,320
1704065400.0,4-2,130
1704065400.0,4-3,220
1704065400.0,4-4,130
1704065400.0,4-5,220
1704065400.0,4-6,220
1704065400.0,4-7,320
1704065400.0,4-8,220
1704065400.0,4-9,220
1704065400.0,4-10,1040
1704065400.0,4-11,130
1704065400.0,4-12,140
1704065400.0,14-0,300
1704065400.0,14-1,320
1704065400.0,14-2,140
1704065400.0,14-3,140
1704065400.0,14-4,220
1704065400.0,14-5,320
1704065400.0,14-6,140
1704065400.0,14-7,240
1704065400.0,14-8,220
1704065400.0,14-9,130
1704065400.0,10-0,220
1704065400.0,10-1,320
1704065400.0,10-2,300
1704065400.0,10-3,220
1704065400.0,10-4,140
1704065400.0,10-5,220
1704065400.0,10-6,130
1704065400.0,10-7,220
1704065400.0,10-8,140
1704065400.0,10-9,130
1704065400.0,0-0,300
1704065400.0,0-1,240
1704065400.0,0-2,220
1704065400.0,0-3,130
1704065400.0,0-4,130
1704065400.0,0-5,140
1704065400.0,0-6,140
1704066300.0,5-0,190
1704066300.0,5-1,280
1704066300.0,5-2,120
1704066300.0,5-3,190
1704066300.0,5-4,300
1704066300.0,5-5,200
1704066300.0,5-6,280
1704066300.0,5-7,200
1704066300.0,4-0,300
1704066300.0,4-1,280
1704066300.0,4-2,120
1704066300.0,4-3,200
1704066300.0,4-4,120
1704066300.0,4-5,200
1704066300.0,4-6,200
1704066300.0,4-7,280
1704066300.0,4-8,190
1704066300.0,4-9,200
1704066300.0,4-10,1040
1704066300.0,4-11,120
1704066300.0,4-12,120
1704066300.0,14-0,300
1704066300.0,14-1,300
1704066300.0,14-2,120
1704066300.0,14-3,120
1704066300.0,14-4,200
1704066300.0,14-5,280
1704066300.0,14-6,120
1704066300.0,14-7,200
1704066300.0,14-8,190
1704066300.0,14-9,120
1704066300.0,10-0,200
1704066300.0,10-1,300
1704066300.0,10-2,300
1704066300.0,10-3,200
1704066300.0,10-4,120
1704066300.0,10-5,200
1704066300.0,10-6,130
1704066300.0,10-7,200
1704066300.0,10-8,120
1704066300.0,10-9,130
1704066300.0,0-0,280
1704066300.0,0-1,200
1704066300.0,0-2,200
1704066300.0,0-3,120
1704066300.0,0-4,120
1704066300.0,0-5,120
1704066300.0,0-6,120
1704067200.0,5-0,170
1704067200.0,5-1,280
1704067200.0,5-2,110
1704067200.0,5-3,190
1704067200.0,5-4,260
1704067200.0,5-5,180
1704067200.0,5-6,260
1704067200.0,5-7,180
1704067200.0,4-0,260
1704067200.0,4-1,260
1704067200.0,4-2,110
1704067200.0,4-3,170
1704067200.0,4-4,110
1704067200.0,4-5,180
1704067200.0,4-6,190
1704067200.0,4-7,260
1704067200.0,4-8,180
1704067200.0,4-9,190
1704067200.0,4-10,1040
1704067200.0,4-11,110
1704067200.0,4-12,110
1704067200.0,14-0,260
1704067200.0,14-1,260
1704067200.0,14-2,120
1704067200.0,14-3,110
1704067200.0,14-4,190
1704067200.0,14-5,260
1704067200.0,14-6,110
1704067200.0,14-7,180
1704067200.0,14-8,180
1704067200.0,14-9,110
1704067200.0,10-0,180
1704067200.0,10-1,260
