1704063600.0	13-0	170	1
1704063600.0	13-1	160	1
1704063600.0	13-2	170	2
1704063600.0	13-3	260	1
1704063600.0	13-4	280	1
1704063600.0	13-5	400	1
1704063600.0	7-0	160	2
1704063600.0	7-1	280	2
1704063600.0	7-2	160	3
1704063600.0	7-3	170	3
1704063600.0	7-4	170	4
1704063600.0	7-5	170	5
1704063600.0	7-6	280	3
1704063600.0	7-7	380	1
1704063600.0	7-8	160	4
1704063600.0	10-0	260	2
1704063600.0	10-1	170	6
1704063600.0	10-2	380	2
1704063600.0	10-3	260	3
1704063600.0	10-4	260	4
1704063600.0	10-5	260	5
1704063600.0	10-6	160	5
1704063600.0	10-7	1120	1
1704063600.0	10-8	280	4
1704063600.0	10-9	170	7
1704063600.0	4-0	260	6
1704063600.0	4-1	380	3
1704063600.0	4-2	400	2
1704063600.0	4-3	260	7
1704063600.0	4-4	170	8
1704063600.0	4-5	400	3
1704063600.0	3-0	160	6
1704063600.0	3-1	280	5
1704063600.0	3-2	400	4
1704063600.0	3-3	280	6
1704063600.0	3-4	160	7
1704063600.0	3-5	280	7
1704063600.0	3-6	170	9
1704063600.0	3-7	170	10
1704063600.0	3-8	280	8
1704064500.0	13-0	150	1
1704064500.0	13-1	150	2
1704064500.0	13-2	150	3
1704064500.0	13-3	240	1
1704064500.0	13-4	260	8
1704064500.0	13-5	360	1
1704064500.0	7-0	150	4
1704064500.0	7-1	240	2
1704064500.0	7-2	160	7
1704064500.0	7-3	150	5
1704064500.0	7-4	140	1
1704064500.0	7-5	160	8
1704064500.0	7-6	240	3
1704064500.0	7-7	380	3
1704064500.0	7-8	150	6
1704064500.0	10-0	240	4
1704064500.0	10-1	150	7
1704064500.0	10-2	340	1
1704064500.0	10-3	240	5
1704064500.0	10-4	240	6
1704064500.0	10-5	240	7
1704064500.0	10-6	150	8
1704064500.0	10-7	1120	1
1704064500.0	10-8	260	9
1704064500.0	10-9	150	9
1704064500.0	4-0	240	8
1704064500.0	4-1	360	2
1704064500.0	4-2	360	3
1704064500.0	4-3	240	9
1704064500.0	4-4	150	10
1704064500.0	4-5	360	4
1704064500.0	3-0	150	11
1704064500.0	3-1	240	10
1704064500.0	3-2	380	4
1704064500.0	3-3	240	11
1704064500.0	3-4	150	12
1704064500.0	3-5	260	10
1704064500.0	3-6	150	13
1704064500.0	3-7	140	2
1704064500.0	3-8	240	12
1704065400.0	13-0	130	1
1704065400.0	13-1	130	2
1704065400.0	13-2	140	3
1704065400.0	13-3	220	1
1704065400.0	13-4	220	2
1704065400.0	13-5	340	2
1704065400.0	7-0	130	3
1704065400.0	7-1	220	3
1704065400.0	7-2	140	4
1704065400.0	7-3	130	4
1704065400.0	7-4	140	4
1704065400.0	7-5	130	5
1704065400.0	7-6	220	4
1704065400.0	7-7	320	1
1704065400.0	7-8	130	6
1704065400.0	10-0	220	5
1704065400.0	10-1	130	7
1704065400.0	10-2	300	1
1704065400.0	10-3	220	6
1704065400.0	10-4	220	7
1704065400.0	10-5	220	8
1704065400.0	10-6	130	8
1704065400.0	10-7	1120	1
1704065400.0	10-8	220	9
1704065400.0	10-9	130	9
1704065400.0	4-0	220	10
1704065400.0	4-1	320	2
1704065400.0	4-2	320	3
1704065400.0	4-3	220	11
1704065400.0	4-4	130	10
1704065400.0	4-5	320	4
1704065400.0	3-0	140	5
1704065400.0	3-1	220	12
1704065400.0	3-2	340	3
1704065400.0	3-3	220	13
1704065400.0	3-4	130	11
1704065400.0	3-5	240	13
1704065400.0	3-6	130	12
1704065400.0	3-7	140	5
1704065400.0	3-8	220	14
1704066300.0	13-0	120	1
1704066300.0	13-1	120	2
1704066300.0	13-2	120	3
1704066300.0	13-3	200	1
1704066300.0	13-4	190	1
1704066300.0	13-5	280	9
1704066300.0	7-0	120	4
1704066300.0	7-1	190	2
1704066300.0	7-2	120	5
1704066300.0	7-3	120	6
1704066300.0	7-4	130	13
1704066300.0	7-5	120	7
1704066300.0	7-6	200	2
1704066300.0	7-7	300	2
1704066300.0	7-8	120	8
1704066300.0	10-0	200	3
1704066300.0	10-1	130	13
1704066300.0	10-2	300	2
1704066300.0	10-3	200	4
1704066300.0	10-4	200	5
1704066300.0	10-5	200	6
1704066300.0	10-6	120	9
1704066300.0	10-7	1120	1
1704066300.0	10-8	200	7
1704066300.0	10-9	130	13
1704066300.0	4-0	200	8
1704066300.0	4-1	300	3
1704066300.0	4-2	300	4
1704066300.0	4-3	200	9
1704066300.0	4-4	120	10
1704066300.0	4-5	300	5
1704066300.0	3-0	120	11
1704066300.0	3-1	200	10
1704066300.0	3-2	280	10
1704066300.0	3-3	200	11
1704066300.0	3-4	120	12
1704066300.0	3-5	200	12
1704066300.0	3-6	120	13
1704066300.0	3-7	120	14
1704066300.0	3-8	200	13
1704067200.0	13-0	110	1
1704067200.0	13-1	110	2
1704067200.0	13-2	110	3
1704067200.0	13-3	180	1
1704067200.0	13-4	170	11
1704067200.0	13-5	260	11
1704067200.0	7-0	110	4
1704067200.0	7-1	170	12
1704067200.0	7-2	110	5
1704067200.0	7-3	120	14
1704067200.0	7-4	110	6
1704067200.0	7-5	110	7
1704067200.0	7-6	170	13
1704067200.0	7-7	260	12
1704067200.0	7-8	110	8
1704067200.0	10-0	190	3
1704067200.0	10-1	110	9
1704067200.0	10-2	260	13
1704067200.0	10-3	180	2
1704067200.0	10-4	180	3
1704067200.0	10-5	190	4
1704067200.0	10-6	110	10
1704067200.0	10-7	1120	1
1704067200.0	10-8	180	4
1704067200.0	10-9	120	15
1704067200.0	4-0	180	5
1704067200.0	4-1	260	14
1704067200.0	4-2	280	11
1704067200.0	4-3	180	6
1704067200.0	4-4	110	11
1704067200.0	4-5	260	15
1704067200.0	3-0	110	12
1704067200.0	3-1	180	7
1704067200.0	3-2	280	11
1704067200.0	3-3	190	5
1704067200.0	3-4	110	13
1704067200.0	3-5	180	8
1704067200.0	3-6	110	14
1704067200.0	3-7	110	15
1704067200.0	3-8	180	9
1704068100.0	13-0	100	1
