1704063600.0	7-0	170
1704063600.0	7-1	170
1704063600.0	7-2	400
1704063600.0	7-3	170
1704063600.0	7-4	280
1704063600.0	7-5	400
1704063600.0	7-6	280
1704063600.0	8-0	160
1704063600.0	8-1	280
1704063600.0	8-2	170
1704063600.0	8-3	170
1704063600.0	8-4	170
1704063600.0	8-5	380
1704063600.0	8-6	400
1704063600.0	8-7	400
1704063600.0	8-8	380
1704063600.0	8-9	170
1704063600.0	8-10	260
1704063600.0	0-0	160
1704063600.0	0-1	380
1704063600.0	0-2	400
1704063600.0	0-3	400
1704063600.0	0-4	400
1704063600.0	0-5	160
1704063600.0	0-6	170
1704063600.0	13-0	400
1704063600.0	13-1	160
1704063600.0	13-2	400
1704063600.0	13-3	260
1704063600.0	13-4	170
1704063600.0	13-5	280
1704063600.0	13-6	400
1704063600.0	13-7	400
1704063600.0	13-8	260
1704063600.0	2-0	380
1704063600.0	2-1	380
1704063600.0	2-2	170
1704063600.0	2-3	400
1704063600.0	2-4	160
1704063600.0	2-5	160
1704063600.0	2-6	170
1704063600.0	2-7	400
1704064500.0	7-0	150
1704064500.0	7-1	150
1704064500.0	7-2	360
1704064500.0	7-3	140
1704064500.0	7-4	240
1704064500.0	7-5	360
1704064500.0	7-6	240
1704064500.0	8-0	150
1704064500.0	8-1	260
1704064500.0	8-2	140
1704064500.0	8-3	150
1704064500.0	8-4	150
1704064500.0	8-5	360
1704064500.0	8-6	360
1704064500.0	8-7	360
1704064500.0	8-8	340
1704064500.0	8-9	140
1704064500.0	8-10	260
1704064500.0	0-0	160
1704064500.0	0-1	360
1704064500.0	0-2	360
1704064500.0	0-3	380
1704064500.0	0-4	360
1704064500.0	0-5	140
1704064500.0	0-6	140
1704064500.0	13-0	360
1704064500.0	13-1	150
1704064500.0	13-2	360
1704064500.0	13-3	240
1704064500.0	13-4	150
1704064500.0	13-5	260
1704064500.0	13-6	360
1704064500.0	13-7	380
1704064500.0	13-8	260
1704064500.0	2-0	360
1704064500.0	2-1	340
1704064500.0	2-2	150
1704064500.0	2-3	340
1704064500.0	2-4	140
1704064500.0	2-5	150
1704064500.0	2-6	150
1704064500.0	2-7	360
1704065400.0	7-0	130
1704065400.0	7-1	130
1704065400.0	7-2	320
1704065400.0	7-3	130
1704065400.0	7-4	220
1704065400.0	7-5	320
1704065400.0	7-6	240
1704065400.0	8-0	130
1704065400.0	8-1	220
1704065400.0	8-2	140
1704065400.0	8-3	130
1704065400.0	8-4	130
1704065400.0	8-5	320
1704065400.0	8-6	340
1704065400.0	8-7	320
1704065400.0	8-8	320
1704065400.0	8-9	140
1704065400.0	8-10	220
1704065400.0	0-0	130
1704065400.0	0-1	300
1704065400.0	0-2	300
1704065400.0	0-3	320
1704065400.0	0-4	320
1704065400.0	0-5	130
1704065400.0	0-6	130
1704065400.0	13-0	320
1704065400.0	13-1	140
1704065400.0	13-2	300
1704065400.0	13-3	220
1704065400.0	13-4	140
1704065400.0	13-5	220
1704065400.0	13-6	320
1704065400.0	13-7	320
1704065400.0	13-8	220
1704065400.0	2-0	340
1704065400.0	2-1	340
1704065400.0	2-2	140
1704065400.0	2-3	320
1704065400.0	2-4	130
1704065400.0	2-5	130
1704065400.0	2-6	130
1704065400.0	2-7	320
1704066300.0	7-0	120
1704066300.0	7-1	120
1704066300.0	7-2	300
1704066300.0	7-3	130
1704066300.0	7-4	190
1704066300.0	7-5	300
1704066300.0	7-6	190
1704066300.0	8-0	120
1704066300.0	8-1	200
1704066300.0	8-2	120
1704066300.0	8-3	120
1704066300.0	8-4	120
1704066300.0	8-5	280
1704066300.0	8-6	300
1704066300.0	8-7	280
1704066300.0	8-8	300
1704066300.0	8-9	120
1704066300.0	8-10	200
1704066300.0	0-0	120
1704066300.0	0-1	300
1704066300.0	0-2	280
1704066300.0	0-3	300
1704066300.0	0-4	300
1704066300.0	0-5	120
1704066300.0	0-6	120
1704066300.0	13-0	300
1704066300.0	13-1	120
1704066300.0	13-2	280
1704066300.0	13-3	190
1704066300.0	13-4	120
1704066300.0	13-5	200
1704066300.0	13-6	280
1704066300.0	13-7	300
1704066300.0	13-8	200
1704066300.0	2-0	300
1704066300.0	2-1	280
1704066300.0	2-2	120
1704066300.0	2-3	300
1704066300.0	2-4	130
1704066300.0	2-5	120
1704066300.0	2-6	120
1704066300.0	2-7	300
1704067200.0	7-0	110
1704067200.0	7-1	110
1704067200.0	7-2	280
1704067200.0	7-3	110
1704067200.0	7-4	180
1704067200.0	7-5	280
1704067200.0	7-6	180
1704067200.0	8-0	120
1704067200.0	8-1	190
1704067200.0	8-2	110
1704067200.0	8-3	110
1704067200.0	8-4	120
1704067200.0	8-5	260
1704067200.0	8-6	260
1704067200.0	8-7	280
1704067200.0	8-8	260
1704067200.0	8-9	110
1704067200.0	8-10	180
1704067200.0	0-0	110
1704067200.0	0-1	260
1704067200.0	0-2	280
1704067200.0	0-3	260
1704067200.0	0-4	260
1704067200.0	0-5	110
1704067200.0	0-6	110
1704067200.0	13-0	260
1704067200.0	13-1	110
1704067200.0	13-2	260
1704067200.0	13-3	180
1704067200.0	13-4	110
1704067200.0	13-5	190
1704067200.0	13-6	260
1704067200.0	13-7	260
1704067200.0	13-8	180
1704067200.0	2-0	260
1704067200.0	2-1	260
1704067200.0	2-2	110
1704067200.0	2-3	260
1704067200.0	2-4	110
1704067200.0	2-5	110
1704067200.0	2-6	110
1704067200.0	2-7	260
1704068100.0	7-0	95
1704068100.0	7-1	95
1704068100.0	7-2	260
1704068100.0	7-3	95
1704068100.0	7-4	160
1704068100.0	7-5	240
1704068100.0	7-6	170
1704068100.0	8-0	100
1704068100.0	8-1	170
1704068100.0	8-2	100
1704068100.0	8-3	95
1704068100.0	8-4	95
1704068100.0	8-5	240
1704068100.0	8-6	240
1704068100.0	8-7	240
1704068100.0	8-8	240
1704068100.0	8-9	110
1704068100.0	8-10	170
1704068100.0	0-0	100
1704068100.0	0-1	260
1704068100.0	0-2	240
1704068100.0	0-3	240
1704068100.0	0-4	260
1704068100.0	0-5	95
1704068100.0	0-6	100
1704068100.0	13-0	240
1704068100.0	13-1	100
1704068100.0	13-2	260
1704068100.0	13-3	170
1704068100.0	13-4	100
1704068100.0	13-5	160
1704068100.0	13-6	260
1704068100.0	13-7	240
1704068100.0	13-8	170
1704068100.0	2-0	240
1704068100.0	2-1	240
1704068100.0	2-2	100
1704068100.0	2-3	240
1704068100.0	2-4	110
1704068100.0	2-5	110
1704068100.0	2-6	100
1704068100.0	2-7	240
1704069000.0	7-0	100
1704069000.0	7-1	90
1704069000.0	7-2	220
1704069000.0	7-3	90
1704069000.0	7-4	160
1704069000.0	7-5	220
1704069000.0	7-6	170
1704069000.0	8-0	95
1704069000.0	8-1	170
1704069000.0	8-2	90
1704069000.0	8-3	100
1704069000.0	8-4	95
1704069000.0	8-5	240
1704069000.0	8-6	240
1704069000.0	8-7	220
1704069000.0	8-8	240
1704069000.0	8-9	100
1704069000.0	8-10	150
1704069000.0	0-0	90
1704069000.0	0-1	240
1704069000.0	0-2	220
1704069000.0	0-3	220
1704069000.0	0-4	240
1704069000.0	0-5	95
1704069000.0	0-6	100
1704069000.0	13-0	240
1704069000.0	13-1	95
1704069000.0	13-2	220
1704069000.0	13-3	170
1704069000.0	13-4	100
1704069000.0	13-5	160
1704069000.0	13-6	240
1704069000.0	13-7	220
1704069000.0	13-8	150
1704069000.0	2-0	220
1704069000.0	2-1	240
1704069000.0	2-2	95
1704069000.0	2-3	220
1704069000.0	2-4	100
1704069000.0	2-5	90
1704069000.0	2-6	95
1704069000.0	2-7	240
1704069900.0	7-0	90
1704069900.0	7-1	95
1704069900.0	7-2	220
1704069900.0	7-3	95
1704069900.0	7-4	160
1704069900.0	7-5	220
1704069900.0	7-6	150
1704069900.0	8-0	90
1704069900.0	8-1	150
1704069900.0	8-2	90
1704069900.0	8-3	90
1704069900.0	8-4	95
1704069900.0	8-5	220
1704069900.0	8-6	220
1704069900.0	8-7	220
1704069900.0	8-8	220
1704069900.0	8-9	95
1704069900.0	8-10	150
1704069900.0	0-0	90
1704069900.0	0-1	220
1704069900.0	0-2	220
1704069900.0	0-3	220
1704069900.0	0-4	220
1704069900.0	0-5	90
1704069900.0	0-6	95
1704069900.0	13-0	220
1704069900.0	13-1	95
1704069900.0	13-2	220
1704069900.0	13-3	150
1704069900.0	13-4	90
1704069900.0	13-5	150
1704069900.0	13-6	220
1704069900.0	13-7	220
1704069900.0	13-8	150
1704069900.0	2-0	220
1704069900.0	2-1	220
1704069900.0	2-2	95
1704069900.0	2-3	220
1704069900.0	2-4	90
1704069900.0	2-5	90
1704069900.0	2-6	95
1704069900.0	2-7	220
1704070800.0	7-0	90
1704070800.0	7-1	90
1704070800.0	7-2	220
1704070800.0	7-3	90
1704070800.0	7-4	150
1704070800.0	7-5	220
1704070800.0	7-6	150
1704070800.0	8-0	90
1704070800.0	8-1	140
1704070800.0	8-2	90
1704070800.0	8-3	90
1704070800.0	8-4	90
1704070800.0	8-5	220
1704070800.0	8-6	200
1704070800.0	8-7	220
1704070800.0	8-8	220
1704070800.0	8-9	85
1704070800.0	8-10	140
1704070800.0	0-0	90
1704070800.0	0-1	220
1704070800.0	0-2	220
1704070800.0	0-3	220
1704070800.0	0-4	200
1704070800.0	0-5	90
1704070800.0	0-6	90
1704070800.0	13-0	220
1704070800.0	13-1	90
1704070800.0	13-2	200
1704070800.0	13-3	150
1704070800.0	13-4	90
1704070800.0	13-5	150
1704070800.0	13-6	200
1704070800.0	13-7	220
1704070800.0	13-8	150
1704070800.0	2-0	200
1704070800.0	2-1	220
1704070800.0	2-2	90
1704070800.0	2-3	200
1704070800.0	2-4	95
1704070800.0	2-5	90
1704070800.0	2-6	95
1704070800.0	2-7	200
1704071700.0	7-0	90
1704071700.0	7-1	90
1704071700.0	7-2	200
1704071700.0	7-3	90
1704071700.0	7-4	140
1704071700.0	7-5	220
1704071700.0	7-6	150
1704071700.0	8-0	90
1704071700.0	8-1	150
1704071700.0	8-2	85
1704071700.0	8-3	90
1704071700.0	8-4	90
1704071700.0	8-5	220
1704071700.0	8-6	220
1704071700.0	8-7	200
1704071700.0	8-8	220
1704071700.0	8-9	90
1704071700.0	8-10	140
1704071700.0	0-0	90
1704071700.0	0-1	220
1704071700.0	0-2	220
