Bäckerei mit Backstube,,,,,,,,,
G5,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
19:30,67.5,64.4,87.7,58.5,52.5,71.2,65.3,56.8,76.5
19:45,64.9,60.5,80.5,59.2,51.8,66.7,62.0,55.1,72.2
20:00,62.5,57.4,74.6,59.4,51.4,63.5,59.4,53.4,68.5
20:15,60.4,55.6,70.4,59.0,51.2,61.6,57.8,51.8,65.8
20:30,58.6,54.6,67.6,57.8,51.1,60.6,56.9,50.5,63.8
20:45,57.0,54.1,65.5,56.2,50.9,60.1,56.3,49.3,62.5
21:00,55.4,53.4,63.5,54.4,50.4,59.4,55.4,48.4,61.5
21:15,53.9,52.2,61.1,52.6,49.4,58.3,54.1,47.7,60.6
21:30,52.2,50.5,58.5,51.0,48.2,57.0,52.4,47.3,59.9
21:45,50.4,48.5,56.1,49.5,47.1,55.8,50.7,46.9,59.2
22:00,48.4,46.3,54.4,48.4,46.3,55.4,49.4,46.3,58.4
22:15,46.1,44.1,53.6,47.6,46.2,56.0,48.6,45.6,57.7
22:30,43.8,42.0,53.6,47.1,46.4,57.7,48.1,44.6,57.1
22:45,41.8,40.0,53.9,47.1,46.9,60.2,47.8,43.5,56.9
23:00,40.3,38.3,54.4,47.4,47.4,63.5,47.4,42.3,57.4
23:15,39.6,36.9,54.7,48.0,47.7,67.3,46.5,41.1,58.7
23:30,39.4,36.0,54.6,48.7,47.9,70.6,45.5,40.1,60.1
23:45,39.4,35.8,53.9,49.3,48.1,72.4,44.3,39.4,60.6
0:00,39.3,36.3,52.4,49.4,48.4,71.5,43.3,39.3,59.4
,Viertelstunden-Leistungswerte für den Jahresverbrauch von 1.000 kWh/a,,,,,,,,
