Gewerbe werktags 8-18,,,,,,,,,
G1,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
19:30,34.3,34.3,58.5,24.0,23.7,39.7,24.8,23.0,44.0
19:45,34.3,33.1,51.1,23.3,24.3,36.5,24.7,22.9,40.7
20:00,34.1,32.2,45.4,22.7,24.6,34.1,24.6,22.7,37.9
20:15,33.5,31.9,41.8,22.3,24.3,32.5,24.3,22.7,35.6
20:30,32.6,32.1,39.8,22.2,23.7,31.6,24.1,22.8,33.6
20:45,31.5,32.3,38.7,22.3,23.0,31.0,24.1,22.8,31.9
21:00,30.3,32.2,37.9,22.7,22.7,30.3,24.6,22.7,30.3
21:15,29.0,31.5,36.7,23.3,23.0,29.3,25.6,22.3,28.7
21:30,27.8,30.4,35.2,23.9,23.6,28.2,26.8,21.8,27.1
21:45,26.9,29.2,33.6,24.4,24.3,27.2,27.9,21.3,25.7
22:00,26.5,28.4,32.2,24.6,24.6,26.5,28.4,20.8,24.6
22:15,26.7,28.1,30.9,24.3,24.4,26.2,28.0,20.6,23.8
22:30,27.3,28.2,29.9,23.8,23.9,26.2,27.0,20.6,23.4
22:45,28.0,28.4,29.1,23.2,23.2,26.4,25.8,20.7,23.0
23:00,28.4,28.4,28.4,22.7,22.7,26.5,24.6,20.8,22.7
23:15,28.4,28.1,27.8,22.6,22.6,26.4,23.8,21.0,22.3
23:30,28.0,27.6,27.2,22.7,22.6,26.0,23.3,21.1,21.9
23:45,27.3,27.0,26.8,22.8,22.8,25.4,23.0,21.0,21.4
0:00,26.5,26.5,26.5,22.7,22.7,24.6,22.7,20.8,20.8
,Viertelstunden-Leistungswerte für den Jahresverbrauch von 1.000 kWh/a,,,,,,,,
