Gewerbe allgemein,,,,,,,,,
G0,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
19:30,96.8,94.0,120.1,79.4,78.2,100.5,85.8,83.1,103.4
19:45,97.2,94.6,111.3,79.6,79.2,93.2,87.3,85.1,97.3
20:00,97.2,94.4,104.6,80.4,80.4,88.8,88.8,86.9,93.4
20:15,96.3,93.0,100.0,81.9,81.6,87.4,90.1,88.1,91.6
20:30,94.8,90.8,96.7,83.9,82.9,88.1,91.2,88.7,91.1
20:45,92.8,88.0,94.1,85.7,83.8,89.6,91.7,88.6,91.1
21:00,90.6,85.0,91.6,86.9,84.1,90.6,91.6,87.8,90.6
21:15,88.5,82.1,88.5,87.0,83.7,90.2,90.6,86.4,89.2
21:30,86.4,79.4,85.2,86.3,82.7,88.5,89.0,84.4,87.2
21:45,84.3,76.9,82.1,84.9,81.2,86.3,87.1,82.0,85.0
22:00,82.2,74.7,79.4,83.2,79.4,84.1,85.0,79.4,83.2
22:15,80.1,72.8,77.6,81.3,77.5,82.4,83.1,76.7,82.1
22:30,78.0,71.1,76.4,79.3,75.5,81.2,81.2,74.1,81.7
22:45,75.9,69.3,75.6,77.4,73.3,80.3,79.4,71.5,81.6
23:00,73.8,67.3,74.7,75.7,71.0,79.4,77.6,69.1,81.3
23:15,71.7,65.0,73.7,74.1,68.6,78.4,75.7,67.0,80.6
23:30,69.7,62.6,72.3,72.7,66.4,77.2,73.8,65.3,79.5
23:45,67.6,60.4,70.5,71.3,64.6,75.7,71.9,64.1,77.9
0:00,65.4,58.9,68.2,70.1,63.5,73.8,70.1,63.5,75.7
,Viertelstunden-Leistungswerte für den Jahresverbrauch von 1.000 kWh/a,,,,,,,,
