Laden/Friseur,,,,,,,,,
G4,Winter,,,Sommer,,,Übergangszeit,,
[W],Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag,Samstag,Sonntag,Werktag
19:30,93.7,90.9,147.6,80.3,76.5,127.2,77.6,72.8,125.5
19:45,95.8,92.6,134.5,80.1,76.5,114.2,80.9,75.7,115.3
20:00,96.3,92.7,123.3,81.0,77.4,105.3,83.7,78.3,108.0
20:15,94.4,90.6,114.2,83.4,79.7,101.8,85.5,80.2,103.9
20:30,90.8,86.8,107.0,86.7,82.7,102.3,86.1,81.3,102.1
20:45,86.3,82.4,101.2,89.5,85.3,104.2,85.8,81.5,101.2
21:00,81.9,78.3,96.3,90.9,86.4,105.3,84.6,81.0,99.9
21:15,78.3,75.1,92.0,90.0,85.4,103.7,82.6,79.6,97.1
21:30,75.5,72.7,88.0,87.5,82.7,100.0,80.2,77.7,93.2
21:45,72.9,70.6,84.1,84.1,79.5,95.3,77.4,75.4,88.8
22:00,70.2,68.4,80.1,81.0,76.5,90.9,74.7,72.9,84.6
22:15,67.1,65.8,75.9,78.7,74.5,87.5,72.1,70.4,81.0
22:30,64.0,63.0,71.8,77.1,73.2,85.2,69.9,68.1,78.1
22:45,61.3,60.4,68.3,75.9,72.2,83.4,68.0,65.9,75.7
23:00,59.4,58.5,65.7,74.7,71.1,81.9,66.6,63.9,73.8
23:15,58.6,57.4,64.3,73.3,69.6,80.2,65.6,62.2,72.2
23:30,58.5,57.1,63.7,71.8,68.0,78.6,65.0,61.0,70.8
23:45,58.7,57.2,63.4,70.4,66.8,77.0,64.4,60.3,69.6
0:00,58.5,57.6,63.0,69.3,66.6,75.6,63.9,60.3,68.4
,Viertelstunden-Leistungswerte für den Jahresverbrauch von 1.000 kWh/a,,,,,,,,
